TIPO DE PROCESO,CIUDAD,REGION,PRESENTACIÓN DEMANDA,AÑO DEMANDA,RED,TIPO RELACIÓN,PRETENSIÓN,CLASE (posibilidad de pérdida),ESTADO ACTUAL,APODERADO BANCO
Ordinario,bogota,bogotá,2003-02-01,2003.0,Bancolombia,Jubilado,otros,otros,favorable,charria camacho lopez
Ordinario,medellin,antioquia,2003-10-21,2003.0,Bic,Jubilado,salario,otros,conciliado,humberto jairo jaramillo v.
Ordinario,aguachica,centro,2001-11-14,2001.0,Bic,Jubilado,jubilacion,otros,favorable,ruth criado de vera
Ordinario,villavicencio,centro,2002-11-25,2002.0,Otros,Otros,salario,otros,favorable,winston rubio segura
Ordinario,dorada,centro,2000-08-29,2000.0,Bic,Jubilado,indemnización,otros,favorable,juan carlos alvarez h.
Ordinario,plato,caribe,2000-04-28,2000.0,Bancolombia,Jubilado,indemnización,otros,favorable,carlos valega puello
Especial,girardot,centro,2001-06-15,2001.0,Bancolombia,Empleado,fuero sindical,otros,favorable,clara lasso de ramírez 
Especial,girardot,centro,2001-07-30,2001.0,Bancolombia,Empleado,fuero sindical,otros,favorable,clara lasso de ramírez 
Especial,girardot,centro,2001-08-31,2001.0,Bancolombia,Empleado,fuero sindical,otros,favorable,clara lasso de ramírez 
Ordinario,bogota,bogotá,2002-03-13,2002.0,Bancolombia,Jubilado,otros,otros,favorable,charria camacho lopez
Ordinario,medellin,centro,2001-06-27,2001.0,Bancolombia,Jubilado,indemnización,otros,favorable,luciano barrientos garcía
Especial,sincelejo,caribe,2004-08-01,2004.0,Banco de colombia,Empleado,fuero sindical,otros,conciliado,carlos valega puello
Ordinario,cartagena,caribe,2000-12-13,2000.0,Banco de colombia,Otros,otros,otros,neutro,ines espinosa de barbosa
Ordinario,monteria ,caribe,2003-05-01,2003.0,Bic,Jubilado,reintegro,otros,favorable,jaime antonio caballero garcia
Ordinario,bogota,bogotá,2003-05-01,2003.0,Bancolombia,Jubilado,jubilacion,otros,favorable,charria camacho lopez
Ordinario,medellin,antioquia,2004-08-01,2004.0,Bancolombia,Jubilado,indemnización,otros,favorable,humberto jairo jaramillo v.
Ordinario,cucuta,centro,2003-08-01,2003.0,Bancolombia,Jubilado,jubilacion,otros,favorable,angel maría corzo labrador
Ordinario,bogota,bogotá,2003-08-11,2003.0,Bancolombia,Jubilado,indemnización,otros,favorable,charria camacho lopez
Ordinario,dorada,centro,2000-07-10,2000.0,Bic,Jubilado,indemnización,otros,favorable,juan carlos alvarez h.
Ordinario,dorada,centro,2000-08-29,2000.0,Bic,Jubilado,indemnización,otros,favorable,juan carlos alvarez h.
Ordinario,tumaco,sur,2000-02-01,2000.0,Bancolombia,Jubilado,indemnización,otros,favorable,luis felipe arana madriñán (josé roberto herrera v.)
Ordinario,bogota,bogotá,2000-12-18,2000.0,Bancolombia,Jubilado,jubilacion,otros,favorable,charria camacho lopez
Ordinario,medellin,antioquia,2001-04-23,2001.0,Bic,Jubilado,indemnización,otros,favorable,hector uribe vasquez
Ordinario,buenaventura,sur,2004-05-18,2004.0,Bancolombia,Jubilado,otros,otros,favorable,luis fernando rojas arango 
Ordinario,plato,caribe,2000-07-27,2000.0,Bancolombia,Jubilado,indemnización,otros,favorable,carlos valega puello
Ordinario,santa marta,caribe,2000-10-08,2000.0,Bancolombia,Otros,otros,otros,neutro,carlos valega puello
Ordinario,santa marta,caribe,2002-01-30,2002.0,Bic,Jubilado,jubilacion,otros,favorable,carlos valega puello
Ordinario,velez,centro,2003-06-01,2003.0,Bancolombia,Jubilado,reintegro,otros,favorable,cesar fernando torres serrano
Unico,medellin,antioquia,2003-10-01,2003.0,Bancolombia,Empleado,otros,otros,favorable,maría elena alzate c.
Ordinario,magangue,caribe,2001-05-21,2001.0,Bancolombia,Jubilado,jubilacion,otros,favorable,manuel e. pérez díaz
Ordinario,cucuta,centro,2000-08-01,2000.0,Bancolombia,Empleado,otros,otros,favorable,angel maría corzo labrador
Ordinario,medellin,antioquia,2004-02-01,2004.0,Bic,Jubilado,otros,otros,favorable,jose antonio escobar lozada
Ordinario,bogota,bogotá,2000-05-12,2000.0,Banco de colombia,Jubilado,jubilacion,otros,favorable,charria camacho lopez
Ordinario,cali,sur,2001-09-17,2001.0,Conavi,Jubilado,indemnización,otros,favorable,dr. luis fernando rojas a.
Ordinario,cucuta,centro,2000-08-01,2000.0,Banco de colombia,Empleado,otros,otros,favorable,angel maría corzo labrador
Ordinario,cucuta,centro,2003-04-01,2003.0,Bancolombia,Jubilado,jubilacion,otros,favorable,angel maría corzo labrador
Especial,medellin,antioquia,2002-10-18,2002.0,Bancolombia,Empleado,reintegro,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-04-23,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-04-23,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,armenia,sur,2005-07-25,2005.0,Banco de colombia,Jubilado,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,armenia,sur,2001-10-12,2001.0,Bancolombia,Empleado,otros,otros,favorable,luis felipe arana madriñán (josé roberto herrera v.)
Ordinario,ubate,bogotá,2002-01-20,2002.0,Banco de colombia,Jubilado,indemnización,otros,favorable,clara lasso de ramírez 
Ordinario,florencia,centro,2002-12-12,2002.0,Bic,Jubilado,indemnización,otros,favorable,nelson calderon molina
Ordinario,cucuta,centro,2000-08-01,2000.0,Bancolombia,Empleado,otros,otros,favorable,angel maría corzo labrador
Especial,medellin,centro,2002-11-06,2002.0,Bic,Empleado,reintegro,otros,conciliado,maría elena alzate c.
Ordinario,medellin,antioquia,2003-05-03,2003.0,Bic,Jubilado,jubilacion,otros,conciliado,jose antonio escobar lozada
Ordinario,ubate,bogotá,2002-01-20,2002.0,Banco de colombia,Jubilado,indemnización,otros,favorable,clara lasso de ramírez 
Ordinario,ibague,centro,2003-01-01,2003.0,Otros,Jubilado,jubilacion,otros,favorable,gustavo arbelaez arbelaez 
Ordinario,ubate,bogotá,2002-01-20,2002.0,Banco de colombia,Jubilado,indemnización,otros,favorable,clara lasso de ramírez 
Ordinario,ibague,centro,2001-12-07,2001.0,Banco de colombia,Jubilado,jubilacion,otros,favorable,gustavo arbelaez arbelaez 
Ordinario,cucuta,centro,2002-03-04,2002.0,Banco de colombia,Jubilado,jubilacion,otros,favorable,angel maría corzo labrador
Especial,bogota,bogotá,2002-03-01,2002.0,Bancolombia,Empleado,fuero sindical,otros,conciliado,charria camacho lopez
Ordinario,cucuta,centro,2002-05-01,2002.0,Banco de colombia,Jubilado,jubilacion,otros,favorable,angel maría corzo labrador
Ordinario,bogota,bogotá,2001-08-23,2001.0,Banco de colombia,Jubilado,indemnización,otros,favorable,charria camacho lopez
Ordinario,bogota,bogotá,2001-11-06,2001.0,Conavi,Jubilado,indemnización,otros,favorable,dr. julio cesar carrillo g.
Ordinario,bucaramanga,centro,2000-01-01,2000.0,Otros,Otros,salario,otros,favorable,cesar fernando serrano rangel
Ordinario,medellin,antioquia,2002-08-29,2002.0,Conavi,Jubilado,indemnización,otros,favorable,dr. manuel osorio urrea
Ordinario,medellin,antioquia,2003-06-01,2003.0,Banco de colombia,Empleado,salario,otros,favorable,maría elena alzate c.
Ordinario,medellin,antioquia,2003-06-01,2003.0,Banco de colombia,Empleado,salario,otros,favorable,maría elena alzate c.
Ordinario,medellin,antioquia,2003-06-01,2003.0,Banco de colombia,Empleado,salario,otros,favorable,maría elena alzate c.
Ordinario,medellin,antioquia,2003-06-01,2003.0,Banco de colombia,Empleado,salario,otros,favorable,maría elena alzate c.
Ordinario,medellin,antioquia,2003-06-01,2003.0,Banco de colombia,Empleado,salario,otros,favorable,maría elena alzate c.
Ordinario,medellin,antioquia,2003-06-01,2003.0,Banco de colombia,Empleado,salario,otros,favorable,maría elena alzate c.
Ordinario,medellin,antioquia,2003-06-01,2003.0,Banco de colombia,Empleado,salario,otros,favorable,maría elena alzate c.
Ordinario,bogota,bogotá,2001-02-01,2001.0,Bic,Jubilado,indemnización,otros,conciliado,charria camacho lopez
Ordinario,medellin,antioquia,2002-10-23,2002.0,Bic,Jubilado,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,bogota,bogotá,2003-02-01,2003.0,Bancolombia,Empleado,otros,otros,favorable,charria camacho lopez
Ordinario,bucaramanga,centro,2002-01-31,2002.0,Otros,Otros,salario,otros,favorable,carlos fernando serrano rangel
Ordinario,cali,sur,2001-10-22,2001.0,Banco de colombia,Jubilado,jubilacion,otros,favorable,luis felipe arana madriñán (josé roberto herrera v.)
Ordinario,villavicencio,centro,2000-03-29,2000.0,Conavi,Jubilado,indemnización,otros,favorable,dra. maria cristina aguilar
Ordinario,melgar,centro,2001-10-04,2001.0,Banco de colombia,Jubilado,jubilacion,otros,favorable,clara lasso de ramírez/charria camacho lopez ??
Ordinario,bogota,bogotá,2001-01-01,2001.0,Banco de colombia,Jubilado,indemnización,otros,conciliado,charria camacho lopez
Especial,florencia,centro,2004-12-01,2004.0,Bancolombia,Empleado,fuero sindical,otros,conciliado,josé roberto herrera vergara
Especial,santa marta,caribe,2003-05-01,2003.0,Bic,Empleado,fuero sindical,otros,conciliado,carlos valega puello
Especial,monteria,caribe,2004-11-01,2004.0,Banco de colombia,Empleado,fuero sindical,otros,otros,jaime antonio caballero garcia
Ordinario,bogota,bogotá,2001-02-15,2001.0,Banco de colombia,Otros,otros,probable,favorable,julio césar carrillo guarin
Ordinario,bogota,bogotá,2001-12-01,2001.0,Bancolombia,Jubilado,reintegro,otros,conciliado,charria camacho lopez
Ordinario,velez,centro,2004-11-01,2004.0,Bancolombia,Jubilado,otros,otros,otros,josé roberto herrera vergara
Ordinario,bogota,bogotá,2001-03-12,2001.0,Banco de colombia,Jubilado,otros,otros,favorable,charria camacho lopez
Ordinario,medellin,antioquia,2004-04-27,2004.0,Bic,Jubilado,otros,otros,favorable,jose roberto herrera vergara
Ordinario,medellin,antioquia,2002-12-18,2002.0,Conavi,Jubilado,indemnización,otros,favorable,manuel osorio urrea
Ordinario,medellin,antioquia,2005-01-14,2005.0,Bic,Jubilado,reintegro,otros,conciliado,maría elena alzate c.
Ordinario,medellin,caribe,2002-12-12,2002.0,Bic,Empleado,otros,otros,favorable,humberto jairo jaramillo v.
Ordinario,sogamoso,centro,2000-08-03,2000.0,Bancolombia,Jubilado,indemnización,otros,favorable,césar torres serrano
Ordinario,montelibano,antioquia,2005-02-01,2005.0,Bancolombia,Jubilado,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,cartagena,caribe,2000-05-11,2000.0,Bancolombia,Jubilado,jubilacion,otros,favorable,ines espinosa de barbosa
Ordinario,cartagena,caribe,2000-05-11,2000.0,Bancolombia,Jubilado,jubilacion,otros,favorable,ines espinosa de barbosa
Ordinario,cartagena,caribe,2000-05-11,2000.0,Bancolombia,Jubilado,jubilacion,otros,favorable,ines espinosa de barbosa
Ordinario,cartagena,caribe,2000-05-11,2000.0,Bancolombia,Jubilado,jubilacion,otros,favorable,ines espinosa de barbosa
Ordinario,cartagena,caribe,2000-05-11,2000.0,Bancolombia,Jubilado,jubilacion,otros,favorable,ines espinosa de barbosa
Ordinario,cartagena,caribe,2000-05-11,2000.0,Bancolombia,Jubilado,jubilacion,otros,favorable,ines espinosa de barbosa
Ordinario,cartagena,caribe,2000-05-11,2000.0,Bancolombia,Jubilado,jubilacion,otros,favorable,ines espinosa de barbosa
Ordinario,cartagena,caribe,2000-05-11,2000.0,Bancolombia,Jubilado,jubilacion,otros,favorable,ines espinosa de barbosa
Ordinario,cartagena,caribe,2000-05-11,2000.0,Bancolombia,Jubilado,jubilacion,otros,favorable,ines espinosa de barbosa
Ordinario,cartagena,caribe,2000-05-11,2000.0,Bancolombia,Jubilado,jubilacion,otros,favorable,ines espinosa de barbosa
Ordinario,cartagena,caribe,2000-05-11,2000.0,Bancolombia,Jubilado,jubilacion,otros,favorable,ines espinosa de barbosa
Ordinario,barranquilla,caribe,2003-05-01,2003.0,Bancolombia,Jubilado,otros,otros,favorable,beatriz vélez vengoechea
Ordinario,cucuta,centro,2002-05-01,2002.0,Bancolombia,Jubilado,jubilacion,otros,favorable,jose roberto herrera / angel maria corzo labrador
Ordinario,cali,sur,2001-01-29,2001.0,Bancolombia,Jubilado,indemnización,otros,favorable,luis fernando rojas arango 
Ordinario,medellin,antioquia,2003-04-24,2003.0,Bic,Jubilado,indemnización,otros,favorable,humberto jairo jaramillo v.
Ordinario,armenia,sur,2005-09-03,2005.0,Bancolombia,Jubilado,indemnización,eventual,favorable,jose antonio escobar lozada
Ordinario,itagui,antioquia,2006-04-07,2004.0,Bic,Jubilado,salario,otros,conciliado,humberto jairo jaramillo v.
Ordinario,libano,centro,2003-01-01,2003.0,Bancolombia,Jubilado,otros,otros,favorable,gustavo arbelaez arbelaez 
Ordinario,cucuta,centro,2003-01-01,2003.0,Otros,Jubilado,jubilacion,otros,favorable,jose roberto herrera vergara
Ordinario,bucaramanga,centro,2002-04-01,2002.0,Bancolombia,Jubilado,otros,otros,conciliado,carlos fernando serrano rangel
Ordinario,bucaramanga,centro,2005-04-01,2005.0,Conavi,Otros,otros,otros,otros,miguel angel marquez serrano
Ordinario,bucaramanga,centro,2005-11-01,2005.0,Conavi,Otros,otros,otros,otros,miguel angel marquez serrano
Ordinario,bogota,bogotá,2006-03-01,2006.0,Banco de colombia,Jubilado,indemnización,otros,conciliado,jose roberto herrera vergara
Ordinario,cucuta,centro,2002-05-09,2002.0,Banco de colombia,Jubilado,jubilacion,eventual,favorable,angel maría corzo labrador
Ordinario,bogota,bogotá,2002-04-01,2002.0,Bancolombia,Jubilado,jubilacion,otros,favorable,charria camacho lopez
Ordinario,cucuta,centro,2000-08-01,2000.0,Bancolombia,Empleado,otros,otros,favorable,jose roberto herrera vergara
Unico,medellin,antioquia,2005-10-18,2005.0,Bancolombia,Jubilado,indemnización,otros,conciliado,josé roberto herrera vergara
Ordinario,valledupar,caribe,2004-11-01,2004.0,Otros,Otros,otros,otros,otros,carlos valega puello/ jrhv
Ordinario,valledupar,caribe,2004-11-01,2004.0,Otros,Otros,otros,otros,otros,carlos valega puello
Ordinario,medellin,antioquia,2005-06-01,2005.0,Bic,Jubilado,indemnización,otros,favorable,jose antonio escobar lozada
Ordinario,cucuta,centro,2000-08-01,2000.0,Bancolombia,Jubilado,jubilacion,otros,conciliado,angel maría corzo labrador
Unico,monteria,caribe,2004-06-01,2004.0,Bancolombia,Empleado,otros,otros,favorable,jaime antonio caballero garcia
Ordinario,cucuta,centro,2000-03-08,2000.0,Bancolombia,Jubilado,indemnización,otros,favorable,jose roberto herrera / angel maria corzo labrador
Ordinario,medellin,antioquia,2003-01-19,2003.0,Bancolombia,Jubilado,jubilacion,otros,favorable,maría elena alzate c.
Ordinario,bogota,bogotá,2006-02-01,2006.0,Banco de colombia,Jubilado,indemnización,otros,otros,josé roberto herrera vergara
Ordinario,bogota,bogotá,2002-05-01,2002.0,Bancolombia,Jubilado,indemnización,otros,favorable,charria camacho lopez
Ordinario,medellin,antioquia,2005-02-01,2005.0,Bic,Jubilado,reintegro,otros,favorable,maría elena alzate c.
Ordinario,medellin,antioquia,2003-08-23,2003.0,Bic,Jubilado,salario,otros,favorable,hector uribe vasquez
Ordinario,medellin,antioquia,2004-10-11,2004.0,Conavi,Jubilado,indemnización,otros,favorable,juan felipe molina alvarez
Ordinario,bogota,bogotá,2006-04-17,2006.0,Banco de colombia,Jubilado,indemnización,otros,favorable,jose roberto herrera vergara
Ordinario,barranquilla,caribe,2001-01-01,2001.0,Bic,Jubilado,indemnización,otros,favorable,beatriz vélez vengoechea
Ordinario,medellin,antioquia,2003-10-01,2003.0,Bic,Jubilado,reintegro,otros,favorable,jose antonio escobar lozada
Ordinario,bogota,bogotá,2006-02-09,2006.0,Banco de colombia,Jubilado,indemnización,otros,resuelto,josé roberto herrera vergara
Ejecutivo,bogota,bogotá,2005-08-06,2005.0,Banco de colombia,Jubilado,indemnización,eventual,favorable,jose roberto herrera vergara
Ordinario,bogota,bogotá,2006-01-01,2006.0,Banco de colombia,Jubilado,otros,otros,favorable,jose roberto herrera vergara
Ordinario,ibague,centro,2002-02-02,2002.0,Bancolombia,Empleado,otros,otros,favorable,gustavo arbelaez arbelaez 
Ordinario,cucuta,centro,2000-08-01,2000.0,Bancolombia,Empleado,otros,otros,favorable,angel maría corzo labrador
Ordinario,bogota,bogotá,2004-11-01,2004.0,Bancolombia,Jubilado,otros,otros,favorable,charria & camacho abogados asociados limitada <chacalop@cable.net.co>
Especial,cucuta,centro,2004-12-01,2004.0,Bancolombia,Empleado,fuero sindical,eventual,favorable,angel maría corzo labrador
Ordinario,cucuta,centro,2003-06-01,2003.0,Bancolombia,Jubilado,jubilacion,otros,favorable,jose roberto herrera / angel maria corzo labrador
Ordinario,libano,centro,2003-01-01,2003.0,Bancolombia,Jubilado,otros,otros,favorable,gustavo arbelaez arbelaez 
Ordinario,cucuta,centro,2002-01-01,2002.0,Bancolombia,Jubilado,jubilacion,otros,favorable,jose roberto herrera vergara
Ordinario,bogota,bogotá,2001-01-01,2001.0,Bancolombia,Jubilado,indemnización,otros,favorable,charria & camacho abogados asociados limitada <chacalop@cable.net.co>
Ordinario,bogota,bogotá,2002-03-14,2002.0,Bancolombia,Jubilado,jubilacion,otros,favorable,charria & camacho abogados asociados limitada <chacalop@cable.net.co>
Especial,barranquilla,caribe,2003-07-15,2003.0,Banco de colombia,Jubilado,fuero sindical,otros,favorable,beatriz vélez vengoechea
Ordinario,bogota,bogotá,2001-01-01,2001.0,Banco de colombia,Otros,jubilacion,otros,terminado,charria & camacho abogados asociados limitada <chacalop@cable.net.co>
Ordinario,bogota,bogotá,2003-01-01,2003.0,Banco de colombia,Jubilado,indemnización,otros,terminado,charria & camacho abogados asociados limitada <chacalop@cable.net.co>
Especial,florencia,centro,2005-09-01,2005.0,Banco de colombia,Empleado,fuero sindical,otros,pendiente,nelson calderon molina
Ordinario,bogota,bogotá,2005-10-22,2005.0,Otros,Jubilado,salario,otros,pendiente,jorge borrero zea
Ordinario,bogota,bogotá,2004-04-01,2004.0,Banco de colombia,Otros,otros,otros,terminado,charria & camacho abogados asociados limitada <chacalop@cable.net.co>
